,zone_geo,pays,iso_code,continent
0,11.0,Canada,CAN,1.0
1,11.0,Groenland,GRL,1.0
2,11.0,Saint-Pierre-et-Miquelon,SPM,1.0
3,11.0,États-Unis,USA,1.0
4,12.0,Belize,BLZ,1.0
5,12.0,Costa Rica,CRI,1.0
6,12.0,El Salvador,SLV,1.0
7,12.0,Guatemala,GTM,1.0
8,12.0,Honduras,HND,1.0
9,12.0,Mexique,MEX,1.0
10,12.0,Nicaragua,NIC,1.0
11,12.0,Panama,PAN,1.0
12,13.0,Antigua-et-Barbuda,ATG,1.0
13,13.0,Bahamas,BHS,1.0
14,13.0,Barbade,BRB,1.0
15,13.0,Bermudes,BMU,1.0
16,13.0,"Vierges britanniques, Îles ",VGB,1.0
17,13.0,"Caïmans, Îles",CYM,1.0
18,13.0,Cuba,CUB,1.0
19,13.0,Dominique,DMA,1.0
20,13.0,"Dominicaine, République",DOM,1.0
21,13.0,Grenade,GRD,1.0
22,13.0,Guadeloupe,GLP,1.0
23,13.0,Haïti,HTI,1.0
24,13.0,Jamaïque,JAM,1.0
25,13.0,Martinique,MTQ,1.0
26,13.0,Montserrat,MSR,1.0
27,13.0,Curaçao,CUW,1.0
28,13.0,Aruba,ABW,1.0
29,13.0,Saint-Martin (partie néerlandaise),SXM,1.0
30,13.0,"Bonaire, Saint-Eustache et Saba",BES,1.0
31,13.0,Porto Rico,PRI,1.0
32,13.0,Saint-Barthélemy,BLM,1.0
33,13.0,Saint-Kitts-et-Nevis,KNA,1.0
34,13.0,Anguilla,AIA,1.0
35,13.0,Sainte-Lucie,LCA,1.0
36,13.0,Saint-Martin (partie française),MAF,1.0
37,13.0,Saint-Vincent-et-les Grenadines,VCT,1.0
38,13.0,Trinité-et-Tobago,TTO,1.0
39,13.0,"Turks-et-Caïcos, Îles",TCA,1.0
40,13.0,"Vierges des États-Unis, Îles ",VIR,1.0
41,14.0,Argentine,ARG,1.0
42,14.0,Bolivie,BOL,1.0
43,14.0,Brésil,BRA,1.0
44,14.0,Chili,CHL,1.0
45,14.0,Colombie,COL,1.0
46,14.0,Équateur,ECU,1.0
47,14.0,"Falkland, Îles (Malvinas)",FLK,1.0
48,14.0,Géorgie du Sud-et-les Îles Sandwich du Sud,SGS,1.0
49,14.0,Guyane française,GUF,1.0
50,14.0,Guyana,GUY,1.0
51,14.0,Paraguay,PRY,1.0
52,14.0,Pérou,PER,1.0
53,14.0,Suriname,SUR,1.0
54,14.0,Uruguay,URY,1.0
55,14.0,Venezuela,VEN,1.0
56,21.0,Autriche,AUT,2.0
57,21.0,Belgique,BEL,2.0
58,21.0,France,FRA,2.0
59,21.0,Allemagne,DEU,2.0
60,21.0,Liechtenstein,LIE,2.0
61,21.0,Luxembourg,LUX,2.0
62,21.0,Monaco,MCO,2.0
63,21.0,Pays-Bas,NLD,2.0
64,21.0,Suisse,CHE,2.0
65,22.0,Bulgarie,BGR,2.0
66,22.0,Bélarus,BLR,2.0
67,22.0,Tchéquie,CZE,2.0
68,22.0,Estonie,EST,2.0
69,22.0,Hongrie,HUN,2.0
70,22.0,Lettonie,LVA,2.0
71,22.0,Lituanie,LTU,2.0
72,22.0,Moldova,MDA,2.0
73,22.0,Pologne,POL,2.0
74,22.0,Roumanie,ROU,2.0
75,22.0,"Russie, Fédération de",RUS,2.0
76,22.0,Slovaquie,SVK,2.0
77,22.0,Ukraine,UKR,2.0
78,23.0,Danemark,DNK,2.0
79,23.0,"Féroé, Îles",FRO,2.0
80,23.0,Finlande,FIN,2.0
81,23.0,"Åland, Îles",ALA,2.0
82,23.0,Islande,ISL,2.0
