Regional_indicator,Country_name,year,Ladder_score,Logged_GDP_per_capita,Social_support,Healthy_life_expectancy,Freedom_to_make_life_choices,Generosity,Perceptions_of_corruption
0,0,2019,2.375,0.21184919210053854,0.42,0.4486607142857144,0.394,0.21974830590513073,0.924
0,0,2021,2.523,0.21145022940355074,0.463,0.45073660714285735,0.382,0.2255566311713456,0.924
0,0,2017,2.662,0.21184919210053854,0.491,0.4575892857142858,0.427,0.2071636011616651,0.954
0,0,2018,2.694,0.21085178535806914,0.508,0.4531250000000002,0.374,0.23330106485963217,0.928
0,0,2014,3.131,0.2160383004189108,0.526,0.4593750000000001,0.509,0.4249757986447241,0.871
0,0,2013,3.572,0.21743466985836823,0.484,0.45223214285714297,0.578,0.38334946757018395,0.823
0,0,2008,3.724,0.14661879114302812,0.451,0.4129464285714286,0.718,0.4869312681510165,0.882
0,0,2012,3.783,0.21344504288848998,0.521,0.44508928571428585,0.531,0.5527589545014522,0.776
0,0,2011,3.832,0.1964891282665071,0.521,0.43794642857142874,0.496,0.4811229428848016,0.731
0,0,2015,3.983,0.21284659884300816,0.529,0.4665178571428572,0.389,0.4017424975798645,0.881
0,0,2016,4.22,0.21184919210053854,0.559,0.4620535714285716,0.523,0.36495643756050344,0.793
0,0,2009,4.402,0.18053062038699386,0.552,0.4218750000000002,0.679,0.5082284607938046,0.85
0,0,2010,4.758,0.2018751246758428,0.539,0.4308035714285716,0.6,0.44143272023233304,0.707
1,1,2016,4.511,0.558946738479952,0.638,0.7991071428571428,0.73,0.30784123910939015,0.901
1,1,2013,4.551,0.5433871932974268,0.759,0.7799107142857142,0.632,0.20135527589545016,0.863
1,1,2015,4.607,0.5521643726311591,0.639,0.7924107142857144,0.704,0.2458857696030978,0.885
1,1,2007,4.634,0.5000997406742469,0.821,0.7477678571428572,0.529,0.3155856727976767,0.875
1,1,2017,4.64,0.566726511071215,0.638,0.8058035714285716,0.75,0.2962245885769603,0.876
1,1,2014,4.814,0.547177338918811,0.626,0.7861607142857143,0.735,0.3000968054211036,0.883
1,1,2019,4.995,0.5802912427688012,0.686,0.8191964285714286,0.777,0.22846079380445306,0.914
1,1,2018,5.004,0.5751047277079595,0.684,0.8125000000000002,0.824,0.33301064859632146,0.899
1,1,2021,5.117,0.5755036904049471,0.697,0.8191741071428571,0.785,0.29525653436592453,0.901
1,1,2010,5.269,0.5322162377817676,0.733,0.7611607142857144,0.569,0.15779283639883837,0.726
1,1,2020,5.365,0.570915619389587,0.71,0.8258928571428572,0.754,0.3310745401742498,0.891
1,1,2009,5.485,0.5240375024935169,0.833,0.7566964285714288,0.525,0.17134559535333982,0.864
1,1,2012,5.51,0.5409934171154995,0.785,0.7736607142857141,0.602,0.1606969990319458,0.848
1,1,2011,5.867,0.5378017155395969,0.759,0.7674107142857145,0.487,0.12584704743465636,0.877
2,2,2019,4.745,0.5389986036305605,0.803,0.7544642857142856,0.385,0.32913843175217816,0.741
2,2,2021,4.887,0.5399960103730304,0.802,0.7523437500000001,0.48,0.25943852855759925,0.752
2,2,2018,5.043,0.5411928984639938,0.799,0.7500000000000002,0.583,0.18296224588576965,0.759
2,2,2017,5.249,0.542389786554957,0.807,0.7455357142857144,0.437,0.16263310745401743,0.7
2,2,2011,5.317,0.531019349690804,0.81,0.7223214285714286,0.53,0.14908034849951599,0.638
2,2,2016,5.341,0.5439856373429084,0.749,0.7410714285714286,0.767,0.29816069699903197,0.801
2,2,2010,5.464,0.529024536205865,0.835,0.71875,0.593,0.12584704743465636,0.618
2,2,2012,5.605,0.5338120885697188,0.839,0.7258928571428571,0.587,0.15779283639883837,0.69
2,2,2014,6.355,0.5385996409335729,0.818,0.7330357142857145,0.767,0.29816069699903197,0.801
3,3,2014,3.795,0.4751645721125073,0.755,0.4977678571428572,0.375,0.1616650532429816,0.834
3,3,2013,3.937,0.4727707959305807,0.722,0.4821428571428572,0.41,0.223620522749274,0.816
3,3,2012,4.36,0.47017753840015986,0.753,0.4665178571428572,0.456,0.1926427879961278,0.906
3,3,2011,5.589,0.4610013963694395,0.723,0.4508928571428572,0.584,0.37754114230396907,0.911
4,4,2018,5.793,0.6776381408338321,0.9,0.8147321428571428,0.846,0.12003872216844144,0.855
