,Ladder_score,PIB_habitant,Social_support,Healthy_life_expectancy,Freedom,Generosity,Corruption,Positive_affect,Negative_affect,Region_Central and Eastern Europe,Region_Commonwealth of Independent States,Region_East Asia,Region_Latin America and Caribbean,Region_Middle East and North Africa,Region_North America and ANZ,Region_South Asia,Region_Southeast Asia,Region_Sub-Saharan Africa,Region_Western Europe
0,3.724,7.37,0.451,50.8,0.718,0.168,0.882,0.518,0.258,False,False,False,False,False,False,True,False,False,False
1,4.402,7.54,0.552,51.2,0.679,0.19,0.85,0.584,0.237,False,False,False,False,False,False,True,False,False,False
2,4.758,7.647,0.539,51.6,0.6,0.121,0.707,0.618,0.275,False,False,False,False,False,False,True,False,False,False
3,3.832,7.62,0.521,51.92,0.496,0.162,0.731,0.611,0.267,False,False,False,False,False,False,True,False,False,False
4,3.783,7.705,0.521,52.24,0.531,0.236,0.776,0.71,0.268,False,False,False,False,False,False,True,False,False,False
5,3.572,7.725,0.484,52.56,0.578,0.061,0.823,0.621,0.273,False,False,False,False,False,False,True,False,False,False
6,3.131,7.718,0.526,52.88,0.509,0.104,0.871,0.532,0.375,False,False,False,False,False,False,True,False,False,False
7,3.983,7.702,0.529,53.2,0.389,0.08,0.881,0.554,0.339,False,False,False,False,False,False,True,False,False,False
8,4.22,7.697,0.559,53.0,0.523,0.042,0.793,0.565,0.348,False,False,False,False,False,False,True,False,False,False
9,2.662,7.697,0.491,52.8,0.427,-0.121,0.954,0.496,0.371,False,False,False,False,False,False,True,False,False,False
10,2.694,7.692,0.508,52.6,0.374,-0.094,0.928,0.424,0.405,False,False,False,False,False,False,True,False,False,False
11,2.375,7.697,0.42,52.4,0.394,-0.108,0.924,0.351,0.502,False,False,False,False,False,False,True,False,False,False
12,2.523,7.695,0.463,52.493,0.382,-0.102,0.924,0.351,0.502,False,False,False,False,False,False,True,False,False,False
13,4.634,9.142,0.821,65.8,0.529,-0.009,0.875,0.553,0.246,True,False,False,False,False,False,False,False,False,False
14,5.485,9.262,0.833,66.2,0.525,-0.158,0.864,0.64,0.279,True,False,False,False,False,False,False,False,False,False
15,5.269,9.303,0.733,66.4,0.569,-0.172,0.726,0.648,0.3,True,False,False,False,False,False,False,False,False,False
16,5.867,9.331,0.759,66.68,0.487,-0.205,0.877,0.628,0.257,True,False,False,False,False,False,False,False,False,False
17,5.51,9.347,0.785,66.96,0.602,-0.169,0.848,0.607,0.271,True,False,False,False,False,False,False,False,False,False
18,4.551,9.359,0.759,67.24,0.632,-0.127,0.863,0.634,0.338,True,False,False,False,False,False,False,False,False,False
19,4.814,9.378,0.626,67.52,0.735,-0.025,0.883,0.685,0.335,True,False,False,False,False,False,False,False,False,False
20,4.607,9.403,0.639,67.8,0.704,-0.081,0.885,0.688,0.35,True,False,False,False,False,False,False,False,False,False
21,4.511,9.437,0.638,68.1,0.73,-0.017,0.901,0.675,0.322,True,False,False,False,False,False,False,False,False,False
22,4.64,9.476,0.638,68.4,0.75,-0.029,0.876,0.669,0.334,True,False,False,False,False,False,False,False,False,False
23,5.004,9.518,0.684,68.7,0.824,0.009,0.899,0.713,0.319,True,False,False,False,False,False,False,False,False,False
24,4.995,9.544,0.686,69.0,0.777,-0.099,0.914,0.681,0.274,True,False,False,False,False,False,False,False,False,False
25,5.365,9.497,0.71,69.3,0.754,0.007,0.891,0.679,0.265,True,False,False,False,False,False,False,False,False,False
26,5.117,9.52,0.697,68.999,0.785,-0.03,0.901,0.679,0.265,True,False,False,False,False,False,False,False,False,False
27,5.464,9.287,0.81,64.5,0.593,-0.205,0.618,0.679,0.265,False,False,False,False,True,False,False,False,False,False
28,5.317,9.297,0.81,64.66,0.53,-0.181,0.638,0.55,0.255,False,False,False,False,True,False,False,False,False,False
29,5.605,9.311,0.839,64.82,0.587,-0.172,0.69,0.604,0.23,False,False,False,False,True,False,False,False,False,False
30,6.355,9.335,0.818,65.14,0.437,-0.167,0.7,0.626,0.177,False,False,False,False,True,False,False,False,False,False
31,5.341,9.362,0.749,65.5,0.437,-0.167,0.7,0.661,0.377,False,False,False,False,True,False,False,False,False,False
32,5.249,9.354,0.807,65.7,0.437,-0.167,0.7,0.642,0.289,False,False,False,False,True,False,False,False,False,False
33,5.043,9.348,0.799,65.9,0.583,-0.146,0.759,0.591,0.293,False,False,False,False,True,False,False,False,False,False
